"id","ano","clube","Vitorias","Empates","Derrotas","Gols_sofridos","Gols_feitos","Receita_anual"
1,2007,"Palmeiras",16,10,12,47,48,"86,2"
2,2008,"Palmeiras",19,8,11,45,55,"138,8"
3,2009,"Palmeiras",17,11,10,45,58,"125"
4,2010,"Palmeiras",12,14,12,43,42,"148,2"
5,2011,"Palmeiras",11,17,10,39,43,"148,1"
6,2012,"Palmeiras",9,7,22,54,39,"244,6"
7,2014,"Palmeiras",11,7,20,59,34,"247,6"
8,2015,"Palmeiras",15,8,15,51,60,"350,5"
9,2016,"Palmeiras",24,8,6,32,62,"497,7"
10,2017,"Palmeiras",19,6,13,45,61,"531,1"
11,2018,"Palmeiras",23,11,4,26,64,"688,6"
12,2019,"Palmeiras",21,11,6,32,61,"665,5"
13,2020,"Palmeiras",15,13,10,37,51,"611,8"
14,2021,"Palmeiras",20,6,12,43,58,"972,6"
15,2022,"Palmeiras",23,12,3,27,66,"856"
16,2023,"Palmeiras",20,10,8,33,64,"908,9"
17,2024,"Palmeiras",22,7,9,33,60,"1274"
